Device,Latitude,Longitude,Date & Time,Google Maps
iPhone,40.7910761367412,-96.7029531257433,3/19/26 6:27:03 PM,"https://www.google.com/maps?q=40.79107613674124,-96.70295312574333"
iPhone,40.7911897129407,-96.7028340487717,3/19/26 6:32:48 PM,"https://www.google.com/maps?q=40.79118971294071,-96.70283404877173"
Windows,40.8025163546361,-96.6154710521162,3/19/26 10:06:31 PM,"https://www.google.com/maps?q=40.80251635463609,-96.61547105211622"
iPhone,40.8030250852167,-96.6149896281045,3/19/26 10:09:56 PM,"https://www.google.com/maps?q=40.803025085216724,-96.61498962810452"
iPhone,40.8030944972464,-96.6149004878688,3/19/26 10:15:52 PM,"https://www.google.com/maps?q=40.803094497246384,-96.6149004878688"
iPhone,40.803082619376,-96.6148225826757,3/19/26 10:16:43 PM,"https://www.google.com/maps?q=40.80308261937596,-96.6148225826757"
iPhone,40.803082619376,-96.6148225826757,3/19/26 10:16:43 PM,"https://www.google.com/maps?q=40.80308261937596,-96.6148225826757"
iPhone,40.8030944972464,-96.6149004878688,3/19/26 10:15:52 PM,"https://www.google.com/maps?q=40.803094497246384,-96.6149004878688"
iPhone,40.803082619376,-96.6148225826757,3/19/26 10:16:43 PM,"https://www.google.com/maps?q=40.80308261937596,-96.6148225826757"
iPhone,40.7984431187485,-96.7028827552985,3/23/26 4:26:55 PM,"https://www.google.com/maps?q=40.79844311874851,-96.70288275529845"
iPhone,40.779981902538,-96.7028717789304,3/23/26 5:09:48 PM,"https://www.google.com/maps?q=40.77998190253804,-96.70287177893042"
Android,40.8372399,-96.6592085,3/23/26 8:27:42 PM,"https://www.google.com/maps?q=40.8372399,-96.6592085"
iPhone,40.8030842309995,-96.6150393097741,3/24/26 5:37:13 PM,"https://www.google.com/maps?q=40.803084230999524,-96.6150393097741"
iPhone,40.8031168483999,-96.614760148586,3/24/26 5:38:38 PM,"https://www.google.com/maps?q=40.803116848399895,-96.61476014858604"
iPhone,40.8030823829372,-96.6148061566346,3/24/26 5:38:47 PM,"https://www.google.com/maps?q=40.80308238293723,-96.61480615663457"
Android,40.8592852,-96.6784792,3/26/26 10:00:29 AM,"https://www.google.com/maps?q=40.8592852,-96.6784792"
"Android","40.8167455","-96.7534446","3/29/26 9:21:49 PM","https://www.google.com/maps?q=40.8167455,-96.7534446"
"Android","40.8159051","-96.7522255","3/30/26 8:14:45 AM","https://www.google.com/maps?q=40.8159051,-96.7522255"
"Android","40.8159051","-96.7522255","3/30/26 8:14:45 AM","https://www.google.com/maps?q=40.8159051,-96.7522255"
"Android","40.8168676","-96.7532093","3/30/26 8:33:57 AM","https://www.google.com/maps?q=40.8168676,-96.7532093"
"Android","40.8156676","-96.7509059","3/30/26 10:02:49 AM","https://www.google.com/maps?q=40.8156676,-96.7509059"
"Android","40.8156676","-96.7509059","3/30/26 10:02:49 AM","https://www.google.com/maps?q=40.8156676,-96.7509059"
"Android","40.8156676","-96.7509059","3/30/26 10:02:49 AM","https://www.google.com/maps?q=40.8156676,-96.7509059"
"Android","40.8156534","-96.750422","3/30/26 10:06:25 AM","https://www.google.com/maps?q=40.8156534,-96.750422"
